                  50ETF (510050)
      时间	    开盘	    最高	    最低	    收盘	         成交量	
 2005/02/23	   0.881	   0.882	   0.866	   0.876	     1269742592	
 2005/02/24	   0.876	   0.876	   0.868	   0.876	      451614208	
 2005/02/25	   0.877	   0.887	   0.875	   0.880	      506460704	
 2005/02/28	   0.878	   0.879	   0.870	   0.872	      187965200	
 2005/03/01	   0.870	   0.873	   0.865	   0.867	      208094464	
 2005/03/02	   0.867	   0.874	   0.857	   0.859	      249274640	
 2005/03/03	   0.858	   0.861	   0.854	   0.859	      100153216	
 2005/03/04	   0.859	   0.865	   0.857	   0.860	      129800192	
 2005/03/07	   0.860	   0.865	   0.860	   0.862	      116789648	
 2005/03/08	   0.864	   0.875	   0.863	   0.874	      298505376	
 2005/03/09	   0.874	   0.878	   0.869	   0.873	      200006304	
 2005/03/10	   0.872	   0.872	   0.852	   0.853	      333859744	
 2005/03/11	   0.853	   0.856	   0.850	   0.855	      132344544	
 2005/03/14	   0.855	   0.864	   0.845	   0.857	      233509504	
 2005/03/15	   0.856	   0.856	   0.842	   0.843	      282961632	
 2005/03/16	   0.841	   0.843	   0.832	   0.834	      219444992	
 2005/03/17	   0.834	   0.837	   0.827	   0.828	      130062536	
 2005/03/18	   0.828	   0.832	   0.821	   0.824	      227792256	
 2005/03/21	   0.824	   0.826	   0.821	   0.824	      103273000	
 2005/03/22	   0.824	   0.825	   0.807	   0.808	      162294080	
 2005/03/23	   0.807	   0.811	   0.800	   0.804	      145295504	
 2005/03/24	   0.802	   0.807	   0.797	   0.806	      118388056	
 2005/03/25	   0.806	   0.809	   0.802	   0.805	      108223368	
 2005/03/28	   0.803	   0.805	   0.797	   0.802	       71266320	
 2005/03/29	   0.802	   0.811	   0.802	   0.805	      144018032	
 2005/03/30	   0.804	   0.804	   0.791	   0.793	      192659440	
 2005/03/31	   0.792	   0.795	   0.786	   0.794	      128738280	
 2005/04/01	   0.793	   0.834	   0.790	   0.829	      502390592	
 2005/04/04	   0.814	   0.818	   0.804	   0.810	      232991552	
 2005/04/05	   0.808	   0.813	   0.802	   0.805	      129587048	
 2005/04/06	   0.802	   0.825	   0.799	   0.818	      261361040	
 2005/04/07	   0.818	   0.839	   0.815	   0.824	      363451808	
 2005/04/08	   0.824	   0.836	   0.819	   0.836	      243258272	
 2005/04/11	   0.833	   0.841	   0.827	   0.830	      163205840	
 2005/04/12	   0.830	   0.832	   0.820	   0.821	      211489792	
 2005/04/13	   0.831	   0.842	   0.830	   0.840	      403705536	
 2005/04/14	   0.840	   0.841	   0.828	   0.828	      207716080	
 2005/04/15	   0.827	   0.827	   0.817	   0.818	      280301120	
 2005/04/18	   0.815	   0.819	   0.805	   0.808	      165191136	
 2005/04/19	   0.808	   0.812	   0.804	   0.811	       81425680	
 2005/04/20	   0.810	   0.810	   0.796	   0.797	      218490288	
 2005/04/21	   0.798	   0.804	   0.793	   0.797	      238539376	
 2005/04/22	   0.799	   0.802	   0.795	   0.798	      246711088	
 2005/04/25	   0.797	   0.797	   0.786	   0.790	      316891808	
 2005/04/26	   0.790	   0.796	   0.788	   0.793	      227232720	
 2005/04/27	   0.796	   0.796	   0.787	   0.788	      223595024	
 2005/04/28	   0.787	   0.798	   0.783	   0.797	      310325824	
 2005/04/29	   0.795	   0.798	   0.785	   0.788	      225864064	
 2005/05/09	   0.800	   0.801	   0.779	   0.780	      334731008	
 2005/05/10	   0.780	   0.785	   0.770	   0.783	      316123776	
 2005/05/11	   0.782	   0.784	   0.776	   0.777	      212492768	
 2005/05/12	   0.775	   0.777	   0.759	   0.760	      269280416	
 2005/05/13	   0.758	   0.769	   0.755	   0.762	      196727136	
 2005/05/16	   0.762	   0.762	   0.747	   0.750	      148144832	
 2005/05/17	   0.750	   0.760	   0.746	   0.754	      118426168	
 2005/05/18	   0.752	   0.761	   0.747	   0.755	      144455312	
 2005/05/19	   0.754	   0.759	   0.746	   0.755	      149821568	
 2005/05/20	   0.754	   0.760	   0.752	   0.757	      147698512	
 2005/05/23	   0.753	   0.753	   0.742	   0.743	      247299968	
 2005/05/24	   0.741	   0.744	   0.733	   0.741	      245240160	
 2005/05/25	   0.740	   0.749	   0.737	   0.743	      155531216	
 2005/05/26	   0.743	   0.746	   0.734	   0.736	      124411592	
 2005/05/27	   0.735	   0.739	   0.728	   0.730	      195085584	
 2005/05/30	   0.727	   0.739	   0.722	   0.736	      220635664	
 2005/05/31	   0.736	   0.742	   0.733	   0.738	      171055056	
 2005/06/01	   0.736	   0.739	   0.724	   0.726	      155460864	
 2005/06/02	   0.724	   0.725	   0.704	   0.707	      360756864	
 2005/06/03	   0.708	   0.710	   0.700	   0.705	      279963936	
 2005/06/06	   0.704	   0.721	   0.700	   0.720	      426957760	
 2005/06/07	   0.718	   0.735	   0.716	   0.720	      354368128	
 2005/06/08	   0.722	   0.784	   0.722	   0.781	      968417408	
 2005/06/09	   0.780	   0.800	   0.770	   0.789	      738007104	
 2005/06/10	   0.787	   0.787	   0.770	   0.775	      458071744	
 2005/06/13	   0.776	   0.779	   0.761	   0.774	      400231392	
 2005/06/14	   0.774	   0.781	   0.767	   0.768	      246761312	
 2005/06/15	   0.765	   0.766	   0.753	   0.755	      220336448	
 2005/06/16	   0.753	   0.767	   0.753	   0.766	      159723232	
 2005/06/17	   0.770	   0.782	   0.769	   0.772	      289736576	
 2005/06/20	   0.785	   0.805	   0.777	   0.804	      572494976	
 2005/06/21	   0.804	   0.804	   0.792	   0.794	      279939968	
 2005/06/22	   0.792	   0.799	   0.789	   0.798	      228293488	
 2005/06/23	   0.796	   0.798	   0.791	   0.794	      271548864	
 2005/06/24	   0.791	   0.795	   0.786	   0.794	      158139424	
 2005/06/27	   0.797	   0.810	   0.797	   0.808	      375357536	
 2005/06/28	   0.804	   0.804	   0.795	   0.802	      253261248	
 2005/06/29	   0.804	   0.805	   0.789	   0.791	      241022912	
 2005/06/30	   0.790	   0.790	   0.767	   0.769	      250300016	
 2005/07/01	   0.768	   0.769	   0.762	   0.767	      269954784	
 2005/07/04	   0.764	   0.764	   0.754	   0.761	      174210240	
 2005/07/05	   0.760	   0.760	   0.752	   0.754	      100489992	
 2005/07/06	   0.754	   0.759	   0.749	   0.750	      184564000	
 2005/07/07	   0.749	   0.754	   0.748	   0.750	       93263936	
 2005/07/08	   0.748	   0.748	   0.737	   0.743	      155890528	
